Classifier,Precision,Recall,F1,Time
GaussianNB,0.9833333333333332,0.975,0.9733333333333334,0 days 00:00:00.003952000
SVC linear,0.9833333333333332,0.975,0.9733333333333334,0 days 00:00:00.006379000
Soft VotingClassifier (GaussianNB + LogisticRegression),0.9833333333333332,0.975,0.9733333333333334,0 days 00:00:00.112884000
MLPClassifier 2 layers,0.9833333333333332,0.95,0.96,0 days 00:00:00.176725000
MLPClassifier 1 layer,0.9625,0.95,0.9466666666666667,0 days 00:00:00.165704000
LogisticRegression,0.9583333333333333,0.9375,0.9333333333333333,0 days 00:00:00.028661000
DecisionTreeClassifier,0.8583333333333332,0.875,0.8608333333333332,0 days 00:00:00.007405000
Nearest Neighbor,0.8791666666666667,0.875,0.86,0 days 00:00:00.004613000
AdaBoostClassifier (RandomForest),0.8666666666666666,0.875,0.8358333333333334,0 days 00:00:00.087451000
NearestCentroid,0.8558333333333332,0.8375,0.8226190476190476,0 days 00:00:00.005260000
RandomForestClassifier,0.6791666666666666,0.65,0.8025,0 days 00:00:00.020386000
KNeighborsClassifier,0.7929166666666667,0.775,0.7577380952380952,0 days 00:00:00.004891000
SVC auto,0.7491666666666666,0.775,0.7319047619047618,0 days 00:00:00.007409000
BernoulliNB,0.6641666666666666,0.6875,0.6451190476190476,0 days 00:00:00.004686000
QuadraticDiscriminantAnalysis,0.41380952380952374,0.4375,0.3878968253968254,0 days 00:00:00.006129000
AdaBoostClassifier,0.2854166666666667,0.475,0.3576190476190476,0 days 00:00:00.101881000
