Classifier,Precision,Recall,F1,Time
MLPClassifier 2 layers,0.9416666666666667,0.9125,0.9199999999999999,0 days 00:00:00.178727000
SVC linear,0.9166666666666666,0.875,0.8700000000000001,0 days 00:00:00.010613000
MLPClassifier 1 layer,0.9083333333333332,0.9125,0.8683333333333334,0 days 00:00:00.251051000
LogisticRegression,0.8,0.7875,0.7641666666666668,0 days 00:00:01.047190000
AdaBoostClassifier (RandomForest),0.8458333333333332,0.7125,0.7474999999999999,0 days 00:00:00.095876000
GaussianNB,0.7725,0.7125,0.705952380952381,0 days 00:00:00.021782000
Soft VotingClassifier (GaussianNB + LogisticRegression),0.7725,0.7125,0.705952380952381,0 days 00:00:00.205546000
Nearest Neighbor,0.7079166666666666,0.675,0.6576190476190475,0 days 00:00:00.006372000
RandomForestClassifier,0.6791666666666666,0.6,0.633452380952381,0 days 00:00:00.025650000
NearestCentroid,0.63125,0.625,0.5916666666666666,0 days 00:00:00.009076000
BernoulliNB,0.6066666666666667,0.6,0.5654761904761905,0 days 00:00:00.180394000
DecisionTreeClassifier,0.5458333333333333,0.575,0.5341666666666666,0 days 00:00:00.014697000
SVC auto,0.5391666666666666,0.575,0.5201190476190476,0 days 00:00:00.012123000
KNeighborsClassifier,0.44875,0.475,0.41869047619047617,0 days 00:00:00.052627000
QuadraticDiscriminantAnalysis,0.41380952380952374,0.4375,0.3878968253968254,0 days 00:00:00.152885000
AdaBoostClassifier,0.17083333333333334,0.275,0.19143790849673203,0 days 00:00:00.090363000
